seccion,Nombre,Tipo,País/Región,Rol/Relación con Litio,Período,Notas Manuales
BUFETES DE ABOGADOS,Patricia Silberman,"Socia, Carey y Cía.",Chile,Asesora legal deals litio,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Salvador Valdés,"Socio, Carey y Cía.",Chile,Asesor legal Quiborax,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Alejandra Daroch,"Socia, Carey y Cía.",Chile,Asesora legal deals litio,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Gonzalo Grez,"Socio, Cariola Díez Pérez-Cotapos",Chile,Asesor legal Rio Tinto Chile,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Lucas Antúnez,"Socio, Cariola Díez Pérez-Cotapos",Chile,Asesor legal Rio Tinto Chile,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Juan Paulo Bambach,"Socio, PPU",Chile,Asesor legal Eramet; demandas servidumbre y CEOL Ascotán,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Werner Ahlers,"Socio, Sullivan & Cromwell",EE.UU.,Asesor legal internacional Codelco,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Sergio Galvis,"Socio, Sullivan & Cromwell",EE.UU.,Asesor legal internacional Codelco,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Andrew Brod,"Socio, Sullivan & Cromwell",EE.UU.,Asesor legal internacional Codelco,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Christian Hodges,"Socio, Sullivan & Cromwell",EE.UU.,Asesor legal internacional Codelco,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Estefanía Souza,"Socia, Sullivan & Cromwell",EE.UU.,Asesora legal internacional Codelco,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
"CONSULTORAS ESTRATÉGICAS, ECONÓMICAS Y AUDITORÍA",Tironi Asociados,Consultoría comunicación estratégica,Chile,": Consultora contratada por Codelco y SQM para estrategia comunicacional NovaAndino Litio; diseño integral comunicaciones, naming, relacionamiento comunitario; trabajo conjunto con Aylwin Matta para gestionar comunidades Salar de Atacama",2024-2026,"CRUCES: Fundada por Eugenio Tironi (ex-Dir Comunicaciones gob. Aylwin); CONFLICTO DE INTERÉS — Tironi escribió columnas opinión sobre litio mientras consultora asesoraba a Subsecretaría Minería; participó en estudio respaldado por SQM Litio (jun 2025) junto con Rodrigo Vera (VP SQM); equipo incluye Miguel Jofré, Carolina Cruz | Reubicado desde 'Actores Financieros' (separación servicios profesionales)"
"CONSULTORAS ESTRATÉGICAS, ECONÓMICAS Y AUDITORÍA",Eugenio Tironi,"Fundador, Tironi Asociados",Chile,Sociólogo; fundador y presidente Tironi Asociados; ex-Director Comunicaciones gobierno Aylwin; branding NovaAndino Litio; participó estudio respaldado SQM Litio (jun 2025),2024-2026,CRUCES: CONFLICTO DE INTERÉS documentado — columnas opinión sobre litio mientras consultora asesoraba Subsecretaría Minería; interfaz comunicacional-política del litio | Reubicado desde 'Actores Financieros' (separación servicios profesionales); junto a su consultora Tironi Asociados
"CONSULTORAS ESTRATÉGICAS, ECONÓMICAS Y AUDITORÍA",Compass Lexecon,Consultoría económica antitrust,EE.UU./Global,: Asesoró a Codelco y SQM ante FNE (Chile) y SAMR (China) para aprobación JV litio; demostró no afectación competencia mercado litio (Tianqi accionista SQM + Albemarle competidor),2024-2025,CRUCES: Equipo liderado por Vanessa Zhang; rol clave en aprobaciones regulatorias necesarias para concretar asociación; intersección regulación Chile-China | Reubicado desde 'Actores Financieros' (separación servicios profesionales)
"CONSULTORAS ESTRATÉGICAS, ECONÓMICAS Y AUDITORÍA",Vanessa Zhang,"Líder equipo, Compass Lexecon",EE.UU./China,Lideró análisis antitrust ante FNE y SAMR para aprobación JV Codelco-SQM,2024-2025,Reubicado desde 'Actores Financieros' (separación servicios profesionales); junto a su consultora Compass Lexecon
"CONSULTORAS ESTRATÉGICAS, ECONÓMICAS Y AUDITORÍA",Deloitte Legal Chile,Consultoría/Legal,Chile,: Asesora jurídica Codelco en PPP con SQM; trabajo conjunto con Carey y Cía; asesor tributario en adquisición LPI; felicitó públicamente a Codelco por transacción,2024-2026,CRUCES: Complementa trabajo de Carey en asesoría legal; red Rothschild-Carey-Deloitte como bloque asesor integral de Codelco | Reubicado desde 'Actores Financieros' (separación servicios profesionales)
"CONSULTORAS ESTRATÉGICAS, ECONÓMICAS Y AUDITORÍA",EY Chile,Consultoría/Auditoría,Chile,Publica Chile's Mining & Metals Investment Guide (2024-2025); Lithium Guide; Latam Lithium Guide 2025; reconoce SQM y Albemarle como productores; documentó impacto ENL en inversiones,2024-2025,CRUCES: Guías referencia para inversores internacionales; identifica Codelco y ENAMI como empresas estatales en exploración litio | Reubicado desde 'Actores Financieros' (separación servicios profesionales)
CONSULTORAS TÉCNICAS Y AMBIENTALES,Amphos 21,Consultoría ambiental/hidrogeológica,España/Chile,: Modelo numérico integrado cuenca Salar de Atacama (desde 2018); análisis hidrogeológico referenciado en Technical Report Summary SQM (SEC); participación Mesa Multiactor del Litio; 15 años en Chile (2024); estimación recursos litio ENAMI Salares Altoandinos,2018-2026,CRUCES: Trabajo técnico para SQM referenciado en filings regulatorios (SEC); participante Mesa Multiactor del Litio; también trabaja con ENAMI | Reubicado desde 'Actores Financieros' (separación servicios profesionales)
CONSULTORAS TÉCNICAS Y AMBIENTALES,Ausenco Chile Ltda,Consultoría ingeniería minera,Australia/Chile,": Colabora con Albemarle en proyecto restauración ecológica y vivero Salar de Atacama (presentación jun 2025); investigación, recolección material vegetal, diseño protocolos viverizacion; PEA Salares Altoandinos bajo NI43-101 para ENAMI",2024-2025,CRUCES: Proyecto pionero con Albemarle aborda principales críticas ambientales industria litio; también trabaja con ENAMI en Salares Altoandinos | Reubicado desde 'Actores Financieros' (separación servicios profesionales)
CONSULTORAS TÉCNICAS Y AMBIENTALES,Montgomery & Associates,Consultoría hidrogeológica,EE.UU./Chile,: Contratada por Codelco para modelo hidrogeológico salar Río Grande; operaciones Sudamérica desde 1984; referenciada en estudios hidrogeológicos Salar de Atacama; equipo especializado en modelos conceptuales Salar de Atacama,1984-2026,"CRUCES: Más de 40 años en consultoría recursos hídricos mineros; oficinas Santiago, Lima, Salta; expertise crítico dado sensibilidad uso agua en extracción litio | Reubicado desde 'Actores Financieros' (separación servicios profesionales)"
CONSULTORAS TÉCNICAS Y AMBIENTALES,WSP Ambiental S.A.,Consultoría ambiental,Internacional/Chile,Preparó Technical Report Summary para SQM sobre Salar de Atacama; contrato servicios profesionales con SQM,2024-2026,CRUCES: Trabajo técnico directo para SQM en reportes regulatorios | Reubicado desde 'Actores Financieros' (separación servicios profesionales)
CONSULTORAS TÉCNICAS Y AMBIENTALES,ASSET Chile,Consultora ambiental,Chile,Consultoría ambiental; asesoría financiera ENAMI para selección partner Altoandinos; sin conexiones directas específicas con litio documentadas,2025,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
CONSULTORAS TÉCNICAS Y AMBIENTALES,Worley,Consultoría ingeniería global,Australia,Estudio pre-factibilidad Laguna Verde para CleanTech Lithium; presencia en Chile pero sin proyectos documentados con SQM/Albemarle en litio,2024-2025,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
CONSULTORES Y ANALISTAS INDEPENDIENTES,Daniela Desormeaux,"Directora de Estudios, Vantaz Group",Chile,": Economista UC; autora ""Litio: demanda actual, potencial y proyecciones""; panelista ""Hablemos de litio"" (El Mostrador, mar 2024, junto con Gustavo Lagos); co-autora ""LITIO: REGULANDO CONTRA EL TIEMPO"" (Libertad y Desarrollo, feb 2025); advirtió que Argentina podría superar a Chile",2024-2026,CRUCES: Participación en think tank Libertad y Desarrollo (posición pro-mercado); entrevistada frecuente en medios sobre perspectivas mercado | Reubicado desde 'Actores Financieros' (separación servicios profesionales)
CONSULTORES Y ANALISTAS INDEPENDIENTES,Juan Carlos Guajardo,"Director Ejecutivo, Plusmining",Chile,": Ex-Director Centro Estudios CESCO (2006-2014); ex-Director Estudios Cochilco; consultor CEPAL; presentaciones ""Desafíos y oportunidades minería litio Chile""; criticó lentitud permisos (""fast track necesario"")",2024-2026,"CRUCES: Trayectoria Cochilco→CESCO→Plusmining muestra circulación entre sector público, gremial y consultoría; advirtió ""fuga de oportunidades de inversión"" | Reubicado desde 'Actores Financieros' (separación servicios profesionales)"
MEDIOS Y COMUNICACIÓN,Fermín Koop,Periodismo Ambiental,Internacional,Editor Adjunto | Cobertura periodística sobre extracción litio Argentina y plan litio Chile,2025,Reubicado desde 'ONGs y ambiente' (sección ¿A dónde mover?) | vía pestaña Medios (disuelta en esta separación)
MEDIOS Y COMUNICACIÓN,Colectiva Radio Ayni,Medio Comunitario,Chile (Arica),Productores | Justicia climática pueblos originarios. Destacada por UNESCO 2025. Co-organizó evento OPSAL dic 2024,2024-2026,"Fundada por Leyla Noriega (periodista aymara, fallecida 30 dic 2025) y Consuelo León. Destacada UNESCO 2025. | Reubicado desde 'ONGs y ambiente' (sección ¿A dónde mover?) | vía pestaña Medios (disuelta en esta separación)"
