Nombre,Tipo de Actor,Organización,Cargo,Tipo Participación,Evento,Fecha,País,Tema/Panel,Fuente URL
Santiago González,Persona,U. Central,"Rector, ex-Ministro de Minería",Panelista,Senado: ENL Quo Vadis,2024-04-01,Chile,Análisis multidimensional ENL,https://tv.senado.cl/tvsenado/programas/especiales/especial-conversatorio-estrategia-nacional-del-litio/2024-04-22/151544.html
Iván Weissman,Persona,Diario El Mostrador,Editor Economía,Panelista,Senado: ENL Quo Vadis,2024-04-01,Chile,Perspectiva económica,https://tv.senado.cl/tvsenado/programas/especiales/especial-conversatorio-estrategia-nacional-del-litio/2024-04-22/151544.html
Marcelo Drago,Persona,Independiente,Ex-Pres. Consejo Transparencia,Panelista,Senado: ENL Quo Vadis,2024-04-01,Chile,Transparencia y anticorrupción,https://tv.senado.cl/tvsenado/programas/especiales/especial-conversatorio-estrategia-nacional-del-litio/2024-04-22/151544.html
Andreé Henríquez,Persona,CircularTec,Director Ejecutivo,Panelista,Senado: ENL Quo Vadis,2024-04-01,Chile,Sustentabilidad,https://tv.senado.cl/tvsenado/programas/especiales/especial-conversatorio-estrategia-nacional-del-litio/2024-04-22/151544.html
Marco Moreno,Persona,U. Central de Chile,Académico,Moderador,Senado: ENL Quo Vadis,2024-04-01,Chile,—,https://tv.senado.cl/tvsenado/programas/especiales/especial-conversatorio-estrategia-nacional-del-litio/2024-04-22/151544.html
Gabriel Boric Font,Persona,Gobierno de Chile,Presidente,Presidió ceremonia,Firma primer CEOL (ENAMI–Rio Tinto),2025-09-01,Chile,—,https://prensa.presidencia.cl/comunicado.aspx?id=303233
Aurora Williams,Persona,Ministerio de Minería,Ministra,Firmante,Firma primer CEOL (ENAMI–Rio Tinto),2025-09-01,Chile,—,https://prensa.presidencia.cl/comunicado.aspx?id=303233
Iván Mlynarz,Persona,ENAMI,VP Ejecutivo,Firmante,Firma primer CEOL (ENAMI–Rio Tinto),2025-09-01,Chile,—,https://prensa.presidencia.cl/comunicado.aspx?id=303233
Soledad Jeria,Persona,Rio Tinto Chile,Country Head,Expositora,Firma primer CEOL (ENAMI–Rio Tinto),2025-09-01,Chile,—,https://prensa.presidencia.cl/comunicado.aspx?id=303233
Maisa Rojas,Persona,Min. Medio Ambiente,Ministra,Asistente,Firma primer CEOL (ENAMI–Rio Tinto),2025-09-01,Chile,—,https://prensa.presidencia.cl/comunicado.aspx?id=303233
Gabriel Boric Font,Persona,Gobierno de Chile,Presidente,Presidió ceremonia,"Firma segundo CEOL (Codelco, Maricunga)",2026-02-01,Chile,—,https://www.minmineria.cl/
Aurora Williams,Persona,Ministerio de Minería,Ministra,Firmante,"Firma segundo CEOL (Codelco, Maricunga)",2026-02-01,Chile,—,https://www.minmineria.cl/
Máximo Pacheco,Persona,Codelco,Presidente del Directorio,Firmante,"Firma segundo CEOL (Codelco, Maricunga)",2026-02-01,Chile,—,https://www.minmineria.cl/
Suina Chahuán,Persona,Ministerio de Minería,Subsecretaria,Expositora,"Firma segundo CEOL (Codelco, Maricunga)",2026-02-01,Chile,—,https://www.minmineria.cl/
Ercilla Araya,Persona,Comunidad Colla Pai-Ote,Presidenta,Testigo invitada,Comisión Minería Senado: CEOL,2025-05-01,Chile,Consulta indígena CEOL,https://www.senado.cl/
Ariel León,Persona,Comunidad Colla Pai-Ote,Asesor,Testigo invitado,Comisión Minería Senado: CEOL,2025-05-01,Chile,Consulta indígena CEOL,https://www.senado.cl/
Máximo Pacheco,Persona,Codelco,Presidente Directorio,Firmante,Mesa Tripartita Comunidades–Codelco–SQM,2023-12-01,Chile,Acuerdo mesa tripartita,https://www.codelco.com/
Ricardo Ramos,Persona,SQM,Gerente General,Firmante,Mesa Tripartita Comunidades–Codelco–SQM,2023-12-01,Chile,Acuerdo mesa tripartita,https://www.codelco.com/
Máximo Pacheco,Persona,Codelco,Pres. Directorio / Dir. NovaAndino,Firmante,Materialización NovaAndino Litio,2025-12-01,Chile,Constitución NovaAndino,https://www.latercera.com/
Josefina Montenegro,Persona,Codelco,Directora NovaAndino,Directora,Materialización NovaAndino Litio,2025-12-01,Chile,Constitución NovaAndino,https://www.latercera.com/
Alfredo Moreno,Persona,Codelco,Director NovaAndino,Director,Materialización NovaAndino Litio,2025-12-01,Chile,Constitución NovaAndino,https://www.latercera.com/
Ricardo Ramos,Persona,SQM,CEO / Director NovaAndino,Firmante,Materialización NovaAndino Litio,2025-12-01,Chile,Constitución NovaAndino,https://www.latercera.com/
Hernán Uribe,Persona,SQM,Director NovaAndino,Director,Materialización NovaAndino Litio,2025-12-01,Chile,Constitución NovaAndino,https://www.latercera.com/
Manuel Ovalle,Persona,SQM,Director NovaAndino,Director,Materialización NovaAndino Litio,2025-12-01,Chile,Constitución NovaAndino,https://www.latercera.com/
María Gabriela Molina,Persona,GIZ,Team Leader Mesa Multiactor,Facilitadora,Mesa Multiactor Salar de Atacama,Desde sept. 2021,Chile,Gobernanza hídrica participativa,https://www.mesamultiactor.cl/
Suina Chahuán,Persona,Ministerio de Minería,Subsecretaria,Líder,Diálogos ENL (regiones norte),2023–2024,Chile,Participación territorial ENL,https://www.reporteminero.cl/
Aisén Etcheverry,Persona,Min. Ciencia e Innovación,Ministra,Expositora,Diálogos ENL (regiones norte),2023–2024,Chile,Ciencia e innovación litio,https://www.reporteminero.cl/
Jan Jarab,Persona,ACNUDH,Rep. ONU DDHH Am. Sur,Convocante,ONU DDHH: Diálogos Triángulo Litio,2024–2026,Multilateral,Derechos humanos y litio,https://www.ohchr.org/
Jorge Cantallopts,Persona,CESCO,Director Ejecutivo,Apertura,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Relevancia industria litio,https://cesco.cl/
Andrew Martin,Persona,Embajada de Australia,Embajador,Apertura,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Colaboración Australia-Chile,https://cesco.cl/
Daniela Desormeaux,Persona,Vantaz Group / CESCO,Directora Estudios,Expositora,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Proyecciones mercado litio,https://cesco.cl/
Álvaro Florez,Persona,CleanTech Lithium / CESCO,Director Jurídico,Expositor,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Mercado litio nac. e int.,https://cesco.cl/
Patricio Faúndez,Persona,GEM Mining Consulting,Ingeniero Especialista,Panelista,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Desafíos normativos ENL,https://cesco.cl/
Arlene Ebensperger,Persona,Ministerio de Minería,Asesora Experta,Expositora,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Gobernanza ambiental/social,https://cesco.cl/
Gloria Zárate,Persona,CCHEN,Abogada Jefe,Panelista,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Desafíos normativos,https://cesco.cl/
Juan Ignacio Guzmán,Persona,GEM Mining Consulting,Director Ejecutivo,Panelista,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Desafíos normativos,https://cesco.cl/
Matías Desmadryl,Persona,PPU,"Socio, ex-Director DGA",Expositor,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Aguas del Minero,https://cesco.cl/
Felipe de Mussy,Persona,Lilac Solutions,Representante,Panelista,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Tecnología DLE,https://cesco.cl/
Pedro Torres,Persona,Beyond Lithium,Representante,Panelista,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Tecnología DLE,https://cesco.cl/
Pedro Morales,Persona,Lanshen,Representante,Panelista,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Tecnología DLE,https://cesco.cl/
Paul Barbaro,Persona,Summit Nanotech,Representante,Panelista,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Tecnología DLE,https://cesco.cl/
Carolina Ferreira,Persona,BID,Representante,Moderadora,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Inversión proyectos litio,https://cesco.cl/
Jerónimo Verdugo,Persona,ENAMI,Sup. Desarrollo Litio,Panelista,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Inversión proyectos litio,https://cesco.cl/
Francisco Lepeley,Persona,Wealth Minerals,CEO,Expositor,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Proyectos pre-2030,https://cesco.cl/
Steve Kesler,Persona,CleanTech Lithium,CEO,Expositor,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Proyectos pre-2030,https://cesco.cl/
Jorge Riesco,Persona,SONAMI,Presidente,Cierre,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Perspectivas industria,https://cesco.cl/
Alina Bendersky,Persona,Bofill Mir Abogados,Socia,Panelista,CESCO: Potencial y Futuro del Litio,2024-08-01,Chile,Aspectos regulatorios,https://cesco.cl/
Alexis Romero,Persona,CPA / Comunidad Solor,Presidente,Expositor inaugural,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Derechos pueblos indígenas,https://smiicechile.cl/
Jorge Mora,Persona,ILiA,Gte. Operaciones Sudamérica,Expositor,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Introducción ILiA,https://smiicechile.cl/
Francisco Donoso,Persona,COCHILCO,Analista,Expositor,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Mercado del litio,https://smiicechile.cl/
Claudio Bustamante,Persona,Min. Minería,Jefe Div. Desarrollo Sostenible,Panelista,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Gobernanza,https://smiicechile.cl/
Catalina Pasache,Persona,GIZ,Asesora Medio Ambiente,Panelista,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Gobernanza,https://smiicechile.cl/
Alfonso Domeyko,Persona,Next Legal LA,Socio/Abogado,Panelista,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Gobernanza,https://smiicechile.cl/
Javier Silva,Persona,SQM,Gte. Sostenibilidad Salar,Panelista,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Gobernanza comunidades,https://smiicechile.cl/
Isabel Santibáñez,Persona,ENAMI,Jefe Geociencias,Expositora,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Buenas prácticas hidrogeología,https://smiicechile.cl/
Pilar Enguita,Persona,Amphos 21,Gerente Operaciones,Expositora,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Estimación recursos/reservas,https://smiicechile.cl/
Oscar Estaba,Persona,Lilac Solutions,Dir. Operaciones Sudamérica,Expositor,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Reinyección sostenible,https://smiicechile.cl/
Jacques Wiertz,Persona,SMI-ICE-Chile / U. Queensland,Senior Researcher,Expositor,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,12 años reinyección Salar Llamara,https://smiicechile.cl/
Juan Esteban Fuentes,Persona,Benchmark Minerals,Director Asociado,Expositor,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Desarrollo industria Chile/Argentina,https://smiicechile.cl/
Alicia Domínguez,Persona,EY Consultores,Socia Consultoría Tributaria,Panelista,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Marco normativo comparado,https://smiicechile.cl/
Daniel Jiménez,Persona,iLiMarkets,Managing Partner,Panelista,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Proyecciones mercado mundial,https://smiicechile.cl/
Osvaldo Yáñez,Persona,SQM,Gerente Innovación y Desarrollo,Expositor,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Producción sulfato/hidróxido litio,https://smiicechile.cl/
Eduardo Montegú,Persona,Worley Chile,Gerente de Proyecto,Expositor,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Enfoque internacional proyectos,https://smiicechile.cl/
Ariel Pliscoff,Persona,Summit Nanotech,Dir. Asuntos Corp. LATAM,Moderador,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Proyectos litio,https://smiicechile.cl/
Rodrigo Dupouy,Persona,Sorcia Chile,CEO,Expositor,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,DLE: una realidad,https://smiicechile.cl/
Leonidas Osses,Persona,Consultor independiente,Ing. Civil Químico,Expositor,VIII Foro del Litio 2024 (UDD),2024-10-01,Chile,Proyecto litio vs. Salar Futuro,https://smiicechile.cl/
Jorge Riesco,Persona,SONAMI,Presidente,Apertura,VII Foro del Litio 2023,2023-11-01,Chile,Perspectivas industria,https://www.mch.cl/
Daniela Desormeaux,Persona,Vantaz Group,Directora Estudios,Expositora,VII Foro del Litio 2023,2023-11-01,Chile,Análisis de mercado,https://www.mch.cl/
Matías Desmadryl,Persona,PPU,"Socio, ex-Director DGA",Panelista,VII Foro del Litio 2023,2023-11-01,Chile,Regulación hídrica,https://www.mch.cl/
Todd Mercer,Persona,Embajada de Australia,Embajador,Inaugurador,VI Foro del Litio 2022,2022-09-01,Chile,Relaciones Chile-Australia,https://www.electromov.cl/
Willy Kracht,Persona,Ministerio de Minería,Subsecretario,Expositor,VI Foro del Litio 2022,2022-09-01,Chile,Política litio,https://www.electromov.cl/
José Joaquín Jara,Persona,CESCO / PUC,Director CESCO,Moderador,VI Foro del Litio 2022,2022-09-01,Chile,Evaluación recursos,https://www.electromov.cl/
Héctor Cruz,Persona,Comunidad Atacameña de Camar,Presidente,Expositor,VI Foro del Litio 2022,2022-09-01,Chile,Perspectiva indígena,https://www.electromov.cl/
Mario Grágeda Zegarra,Persona,"CELIMIN, U. Atacama",Director,Expositor,VI Foro del Litio 2022,2022-09-01,Chile,DLE y huella carbono/agua,https://www.electromov.cl/
Andrés González Eyzaguirre,Persona,COCHILCO,Analista,Expositor,VI Foro del Litio 2022,2022-09-01,Chile,Recursos y reservas litio Chile,https://www.electromov.cl/
Felipe Larraín,Persona,CLAPES UC,Director,Apertura,CLAPES UC: ENL ¿Estamos a Tiempo?,2024-11-01,Chile,—,https://clapesuc.cl/
José Miguel Benavente,Persona,CORFO,VP Ejecutivo,Keynote,CLAPES UC: ENL ¿Estamos a Tiempo?,2024-11-01,Chile,Perspectiva CORFO,https://clapesuc.cl/
Hernán de Solminihac,Persona,CLAPES UC / PUC,"Ex-Ministro, Prof. Titular",Moderador,CLAPES UC: ENL ¿Estamos a Tiempo?,2024-11-01,Chile,—,https://clapesuc.cl/
Daniela Desormeaux,Persona,Vantaz Group,Directora Estudios,Panelista,CLAPES UC: ENL ¿Estamos a Tiempo?,2024-11-01,Chile,Análisis mercado,https://clapesuc.cl/
Gustavo Lagos,Persona,PUC,Profesor Titular Ingeniería,Panelista,CLAPES UC: ENL ¿Estamos a Tiempo?,2024-11-01,Chile,Perspectiva académica,https://clapesuc.cl/
Ricardo Ramos,Persona,SQM,CEO,Panelista,CLAPES UC: ENL ¿Estamos a Tiempo?,2024-11-01,Chile,Perspectiva empresa,https://clapesuc.cl/
Javier Ruiz del Solar,Persona,"AMTC, U. Chile",Director Ejecutivo,Apertura,AMTC: Producción Sostenible Litio,2024-01-01,Chile,—,https://ingenieria.uchile.cl/
Humberto Estay Cuenca,Persona,"AMTC, U. Chile",Subdirector / Inv. Titular,Expositor,AMTC: Producción Sostenible Litio,2024-01-01,Chile,"Proceso LiSa, DLE",https://ingenieria.uchile.cl/
Victoria Flexer,Persona,U. Nac. Jujuy / CIDMEJu,"Directora, Inv. CONICET",Invitada internacional,AMTC: Producción Sostenible Litio,2024-01-01,Chile,Economía circular litio,https://www.amtc.cl/
Nancy Pérez,Persona,ENAMI,Directora,Panelista,AMTC: Producción Sostenible Litio,2024-01-01,Chile,Perspectiva sector público,https://www.amtc.cl/
Leonardo Valenzuela,Persona,CORFO,Gte. Asuntos Estratégicos,Panelista,AMTC: Producción Sostenible Litio,2024-01-01,Chile,Apoyo público tecnología litio,https://www.amtc.cl/
Annie Dufey,Persona,Espacio Público,Directora,Presentadora/Moderadora,Espacio Público: Gobernanza Salares,2023-12-01,Chile,Gobernanza salares,https://espaciopublico.cl/
José Miguel Benavente,Persona,CORFO,VP Ejecutivo,Panelista,Espacio Público: Gobernanza Salares,2023-12-01,Chile,Rol de CORFO,https://espaciopublico.cl/
Andrea Furnaro,Persona,NRGI,Policy Analyst,Panelista,Espacio Público: Gobernanza Salares,2023-12-01,Chile,Transparencia gobernanza,https://espaciopublico.cl/
Jorge Cantallopts,Persona,CESCO,Director Ejecutivo,Panelista,Espacio Público: Gobernanza Salares,2023-12-01,Chile,Perspectiva industria,https://espaciopublico.cl/
María Victoria Arias,Persona,"FUNDAR, Argentina",Investigadora Senior,Panelista,Espacio Público: Gobernanza Salares,2023-12-01,Chile,Perspectiva regional,https://espaciopublico.cl/
Aurora Williams,Persona,Ministerio de Minería,Ministra,Expositora panel ESG,EXPOMIN 2025,2025-04-01,Chile,ESG en minería,https://expomin.cl/
Máximo Pacheco,Persona,Codelco,Presidente Directorio,Expositor panel ESG,EXPOMIN 2025,2025-04-01,Chile,ESG en minería,https://expomin.cl/
Ernesto Calvo,Persona,INQUIMAE (UBA-CONICET),Investigador,Expositor,4° Lithium Latin America Congress,2023.0,Argentina,DLE desde salares de Puna,https://www.conicet.gov.ar/
Félix Requejo,Persona,INIFTA (CONICET-UNLP),Director,Expositor,4° Lithium Latin America Congress,2023.0,Argentina,Materiales activos celdas Li-ion,https://www.conicet.gov.ar/
Arnaldo Visintin,Persona,INIFTA (CONICET-UNLP),Investigador,Expositor,4° Lithium Latin America Congress,2023.0,Argentina,Desarrollos argentinos baterías,https://www.conicet.gov.ar/
Melina Cozzarin,Persona,Y-TEC,Investigadora,Expositora,4° Lithium Latin America Congress,2023.0,Argentina,Materiales para baterías litio,https://www.conicet.gov.ar/
Jorge González,Persona,Sec. Minería Argentina,Dir. Nac. Promoción Minera,Expositor/Moderador,5° Lithium Latin America Congress,2024-06-01,Argentina,Política minera Argentina,https://miningpress.com/
Andrea R. Sassarini,Persona,Sec. Minería/Energía Salta,Secretaria,Expositora,5° Lithium Latin America Congress,2024-06-01,Argentina,Política provincial,https://miningpress.com/
Carlos Cuburu,Persona,Sec. Minería Argentina,Subsec. Política Minera,Expositor,5° Lithium Latin America Congress,2024-06-01,Argentina,Política minera,https://miningpress.com/
Natalia Dusso,Persona,CAMYEN S.E.,Vicepresidenta,Expositora,5° Lithium Latin America Congress,2024-06-01,Argentina,Empresa estatal litio Catamarca,https://miningpress.com/
Carlos Sadir,Persona,Gobierno de Jujuy,Gobernador,Apertura,XIII Litio en Sudamérica,2024-10-01,Argentina,—,https://www.panorama-minero.com/
Raúl Jalil,Persona,Gobierno de Catamarca,Gobernador,Apertura,XIII Litio en Sudamérica,2024-10-01,Argentina,—,https://www.panorama-minero.com/
Gustavo Sáenz,Persona,Gobierno de Salta,Gobernador,Apertura,XIII Litio en Sudamérica,2024-10-01,Argentina,—,https://www.panorama-minero.com/
Luis Lucero,Persona,Sec. Minería Argentina,Secretario Nacional,Apertura,XIII Litio en Sudamérica,2024-10-01,Argentina,—,https://www.panorama-minero.com/
Roberto Cacciola,Persona,CAEM,Presidente,Apertura,XIII Litio en Sudamérica,2024-10-01,Argentina,—,https://www.panorama-minero.com/
Flavia Royón,Persona,Mesa del Litio Argentina,Secretaria Ejecutiva,Panelista,XIII Litio en Sudamérica,2024-10-01,Argentina,Política litio Argentina,https://www.panorama-minero.com/
Jason Luo,Persona,Ganfeng Lithium,CEO,Expositor,XIII Litio en Sudamérica,2024-10-01,Argentina,Inversión china en litio,https://www.panorama-minero.com/
Joe Lowry,Persona,Global Lithium LLC,Fundador ('Mr. Lithium'),Keynote,XIII Litio en Sudamérica,2024-10-01,Argentina,Mercado global litio,https://www.panorama-minero.com/
Ignacio Costa,Persona,Rio Tinto Argentina,Gerente General,Expositor,XIV Litio en Sudamérica,2025-09-01,Argentina,Operaciones Argentina,https://www.litioensudamerica.com.ar/
Roland Chavasse,Persona,ILiA,Secretary General,Panelista,XIV Litio en Sudamérica,2025-09-01,Argentina,Industria global litio,https://www.litioensudamerica.com.ar/
Fernando Sulca,Persona,CRU,Senior Analyst Battery Materials,Panelista,XIV Litio en Sudamérica,2025-09-01,Argentina,Análisis mercado,https://www.litioensudamerica.com.ar/
Alejandro Moro,Persona,Eramine Sudamérica,CEO,Panelista,XIV Litio en Sudamérica,2025-09-01,Argentina,Proyecto Centenario-Ratones,https://www.litioensudamerica.com.ar/
Luis Arce,Persona,Gobierno de Bolivia,Presidente,Ceremonia firma,Acuerdo YLB-CBC,2023-01-01,Bolivia,Acuerdo industrialización litio,https://es.mongabay.com/
Carlos Ramos Mamani,Persona,YLB,Presidente Ejecutivo,Expositor múltiple,"CEPAL, inauguraciones YLB",2022–2024,Bolivia,Industrialización litio Bolivia,https://cepal.org/
Karla Calderón,Persona,YLB,Presidenta (sucesora),Expositora,Gira europea YLB,2024.0,Bolivia/Europa,Promoción inversión litio,https://la-razon.com/
Jeannette Sánchez,Persona,CEPAL,Dir. Div. Recursos Naturales,Organizadora/Moderadora,Foros CEPAL litio,2022–2023,Multilateral,Gobernanza minerales estratégicos LAC,https://cepal.org/
Roberto Salvarezza,Persona,Y-TEC / YPF Litio,Presidente,Panelista,Foros CEPAL litio,2022–2024,Multilateral,Industrialización litio Argentina,https://cepal.org/
Andrés Rebolledo,Persona,OLADE,Secretario Ejecutivo,Panelista,Foro CEPAL LAC abril 2023,2023-04-01,Multilateral,Energía y litio en LAC,https://cepal.org/
Pablo Terrazas,Persona,CORFO (Chile),VP Ejecutivo,Panelista,Panel CEPAL 2022,2022.0,Multilateral,Rol de CORFO en litio,https://cepal.org/
Franklin Molina Ortiz,Persona,Min. Hidrocarburos Bolivia,Ministro,Organizador/Panelista,Foro CEPAL abril 2022,2022-04-01,Multilateral,Industrialización litio Bolivia,https://cepal.org/
Dale Henderson,Persona,Pilbara Minerals,Managing Director & CEO,Keynote,Fastmarkets Lithium Supply 2024,2024-06-01,EEUU,Transparencia precios litio,https://www.fastmarkets.com/
Eric Norris,Persona,Albemarle Corporation,President Energy Storage,Keynote Debate,Fastmarkets Lithium Supply 2024,2024-06-01,EEUU,Visibilidad precios litio,https://www.fastmarkets.com/
Vivas Kumar,Persona,Mitra Chem,CEO & Co-Founder,Expositor,Fastmarkets Lithium Supply 2024,2024-06-01,EEUU,Cadena suministro baterías EEUU,https://www.fastmarkets.com/
Daniel Jiménez,Persona,Consultor independiente,Veterano industria litio,Expositor,Fastmarkets Lithium Supply 2024,2024-06-01,EEUU,Dinámica mercado litio,https://www.fastmarkets.com/
Howard Klein,Persona,RK Equity,Managing Partner,Expositor,Fastmarkets Lithium Supply 2024,2024-06-01,EEUU,Retrospectiva 15 años mercado,https://www.fastmarkets.com/
Simon Moores,Persona,Benchmark Minerals Intelligence,CEO,Anfitrión,Benchmark Week 2024,2024-11-01,EEUU,Estado mercado litio,https://benchmarkevents.benchmarkminerals.com/
Andrew Miller,Persona,Benchmark Minerals Intelligence,COO,Expositor,Benchmark Week 2024,2024-11-01,EEUU,Análisis datos,https://benchmarkevents.benchmarkminerals.com/
Chris Berry,Persona,House Mountain Partners,Founder & President,Expositor,Benchmark Week 2024,2024-11-01,EEUU,Inversión en litio,https://benchmarkevents.benchmarkminerals.com/
Raef Sully,Persona,Lilac Solutions,CEO,Expositor,Benchmark Week 2024,2024-11-01,EEUU,Tecnología DLE,https://benchmarkevents.benchmarkminerals.com/
Morgan Bazilian,Persona,Colorado School of Mines,Director Payne Institute,Expositor,Benchmark Week 2024,2024-11-01,EEUU,Política energética,https://benchmarkevents.benchmarkminerals.com/
Sen. Joe Manchin,Persona,U.S. Senate,Chairman Energy Committee,Keynote,Benchmark Giga USA 2023,2023-06-01,EEUU,Política energética IRA,https://benchmarkevents.benchmarkminerals.com/
